station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Chalk Farm,,,2.0,14.0,13.0,,,,,24.0,10.0,1.0,1.0,30.0,4.0,86.0,21.0,5.0,0.0,4.0,,,,0.0,42.0,5.0,7.0,19.0,4.0,,48.0,6.0,1.0,1.0,,2.0,2.0,,6.0,,2.0,,,,0.0,1.0,,,6.0,,,,97.0,19.0,38.0,11.0,9.0,,,,,,,33.0,19.0,,,,,2.0,,3.0,,,2.0,2.0,,0.0,4.0,1.0,13.0,,,,,,,,1.0,1.0,,,1.0,,,,,4.0,1.0,9.0,2.0,3.0,2.0,,2.0,,1.0,14.0,,11.0,,,23.0,,,0.0,82.0,,,51.0,4.0,,,12.0,,,6.0,,1.0,,9.0,8.0,1.0,27.0,,,,19.0,53.0,1.0,,,,,,,0.0,16.0,17.0,,2.0,,,,,2.0,,1.0,,0.0,1.0,1.0,5.0,,1.0,8.0,,44.0,3.0,,49.0,4.0,5.0,,,,1.0,1.0,0.0,,7.0,,,,,3.0,,,,25.0,,,1.0,,,,,101.0,,14.0,4.0,4.0,5.0,,2.0,25.0,,2.0,,2.0,,,74.0,36.0,,,1.0,,3.0,,13.0,16.0,,10.0,5.0,1.0,,40.0,1.0,33.0,,,,,1.0,3.0,,6.0,,,1.0,1.0,,,,,10.0,1.0,30.0,1.0,5.0,98.0,28.0,,4.0,,,1.0,32.0,10.0,,1.0,,,,,,3.0,5.0,,,5.0,3.0,,,0.0,,4.0,,,,,,2.0,,,,,19.0,,11.0,,,13.0,1.0,,,14.0,1.0,,1.0,,,22.0,,,0.0,,1.0,1.0,,2.0,1.0,18.0,,23.0,,24.0,1.0,,,,3.0,3.0,,,34.0,,,0.0,,,,,15.0,,,2.0,4.0,51.0,4.0,1.0,,14.0,5.0,,2.0,2.0,1.0,,1.0,,2.0,2.0,21.0,50.0,5.0,,,1.0,,,68.0,3.0,38.0,,,,,5.0,1.0,,,0.0,6.0,,,,3.0,,,3.0,,28.0,7.0,,22.0,,6.0,4.0,,3.0,3.0,,1.0,,1.0,,2391.0
Chancery Lane,,,1.0,8.0,7.0,,0.0,0.0,,8.0,1.0,0.0,0.0,11.0,1.0,84.0,9.0,1.0,0.0,1.0,1.0,,,0.0,2.0,3.0,3.0,11.0,1.0,,21.0,4.0,0.0,0.0,,1.0,0.0,,2.0,,1.0,,,,0.0,0.0,,,2.0,,,,5.0,9.0,17.0,5.0,8.0,,0.0,,,0.0,1.0,,13.0,0.0,,0.0,,1.0,0.0,1.0,,,1.0,1.0,,0.0,1.0,0.0,15.0,,,0.0,,,,,0.0,0.0,,,0.0,,,,0.0,1.0,0.0,3.0,1.0,1.0,1.0,,1.0,0.0,0.0,5.0,,6.0,0.0,,14.0,,,0.0,16.0,,0.0,17.0,1.0,2.0,,4.0,,,2.0,,0.0,,3.0,1.0,,12.0,,,0.0,6.0,26.0,0.0,,1.0,,,,,0.0,5.0,1.0,,0.0,1.0,,,0.0,1.0,,0.0,,0.0,0.0,0.0,1.0,,0.0,3.0,,14.0,1.0,0.0,118.0,1.0,2.0,,,0.0,0.0,0.0,0.0,,3.0,0.0,,,,1.0,0.0,,1.0,2.0,,0.0,0.0,1.0,,1.0,,39.0,0.0,6.0,1.0,2.0,2.0,,1.0,20.0,,1.0,,1.0,,,48.0,27.0,,,0.0,1.0,1.0,,,6.0,,4.0,2.0,0.0,0.0,24.0,0.0,3.0,,0.0,,,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,13.0,0.0,2.0,47.0,9.0,0.0,1.0,,,0.0,22.0,4.0,0.0,1.0,,,0.0,,,1.0,1.0,,0.0,2.0,1.0,0.0,,0.0,4.0,1.0,0.0,0.0,,,,1.0,,,0.0,0.0,16.0,,3.0,,,4.0,,,,5.0,0.0,,0.0,,0.0,8.0,0.0,,0.0,,0.0,0.0,,1.0,0.0,9.0,,11.0,3.0,40.0,0.0,,0.0,,2.0,1.0,,0.0,12.0,,,0.0,0.0,,2.0,,,,0.0,1.0,1.0,41.0,1.0,0.0,,10.0,1.0,,1.0,1.0,0.0,0.0,0.0,,1.0,0.0,7.0,21.0,1.0,,,0.0,,,20.0,1.0,20.0,0.0,,,0.0,1.0,0.0,3.0,,0.0,2.0,2.0,0.0,,1.0,0.0,,1.0,,15.0,2.0,,11.0,0.0,1.0,1.0,0.0,1.0,,,0.0,,0.0,,1134.0
Charing Cross,,,3.0,26.0,25.0,,1.0,0.0,,29.0,6.0,1.0,2.0,61.0,7.0,230.0,29.0,6.0,0.0,8.0,3.0,,,1.0,7.0,12.0,12.0,85.0,4.0,,127.0,18.0,1.0,1.0,,3.0,1.0,,13.0,,4.0,,,,0.0,1.0,,,8.0,,,,25.0,42.0,64.0,18.0,30.0,,1.0,,,0.0,6.0,104.0,,0.0,,0.0,,,0.0,6.0,,,5.0,4.0,,0.0,3.0,2.0,101.0,,,0.0,,,,,,1.0,,,1.0,,,,2.0,5.0,2.0,18.0,3.0,3.0,3.0,,4.0,0.0,1.0,25.0,,39.0,0.0,,496.0,,,0.0,80.0,30.0,0.0,61.0,3.0,9.0,,15.0,,,10.0,,1.0,,18.0,4.0,1.0,64.0,,,0.0,26.0,243.0,1.0,,7.0,,,,,0.0,28.0,6.0,,2.0,3.0,,,1.0,3.0,,1.0,,1.0,1.0,2.0,3.0,,1.0,15.0,,52.0,2.0,0.0,195.0,7.0,6.0,,,,1.0,1.0,1.0,,24.0,0.0,,,,10.0,1.0,,6.0,12.0,,1.0,1.0,5.0,,3.0,,123.0,1.0,41.0,5.0,19.0,10.0,,3.0,322.0,,2.0,,3.0,,,148.0,120.0,,,1.0,3.0,4.0,,48.0,37.0,,20.0,8.0,1.0,1.0,75.0,2.0,16.0,,2.0,,,1.0,5.0,1.0,9.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,,16.0,1.0,43.0,1.0,13.0,313.0,48.0,2.0,7.0,,,1.0,359.0,24.0,0.0,2.0,,,1.0,,,5.0,5.0,,1.0,8.0,4.0,1.0,,0.0,26.0,5.0,1.0,,,,,4.0,,0.0,0.0,0.0,42.0,,13.0,,,20.0,1.0,,,35.0,1.0,,1.0,,0.0,50.0,0.0,,0.0,,2.0,1.0,,3.0,1.0,88.0,,115.0,13.0,59.0,2.0,,1.0,,6.0,7.0,,1.0,49.0,,,0.0,0.0,,8.0,,102.0,,0.0,3.0,7.0,246.0,5.0,1.0,,32.0,2.0,,3.0,2.0,1.0,,,,3.0,2.0,45.0,155.0,6.0,,,1.0,,,103.0,5.0,270.0,1.0,,,2.0,6.0,1.0,15.0,,0.0,8.0,12.0,0.0,,5.0,0.0,,4.0,,199.0,11.0,,38.0,2.0,6.0,7.0,,4.0,4.0,,1.0,,1.0,,6486.0
Chesham,,,3.0,7.0,7.0,,2.0,3.0,,7.0,,,,13.0,,41.0,8.0,,,3.0,,,,,,3.0,4.0,9.0,,,16.0,,,,,,,,5.0,,,,,,,,,,2.0,,,,6.0,13.0,29.0,10.0,5.0,,1.0,,,8.0,,12.0,7.0,,,,,2.0,6.0,,,,,,,,,,5.0,,,2.0,,,,,,,,,,,,,2.0,6.0,2.0,6.0,,,,,2.0,1.0,,,,6.0,,,9.0,,,,,8.0,,18.0,,5.0,,6.0,,,4.0,,,,5.0,,,,,,,7.0,19.0,,,5.0,,,,,,14.0,,,,,,,,6.0,,,,,,,,,,5.0,,18.0,,1.0,16.0,,2.0,,,,,,,,3.0,1.0,,,,,,,,,,,,3.0,,,,23.0,2.0,6.0,3.0,,,,2.0,8.0,,,,,,,33.0,19.0,,,,1.0,,,,,,,4.0,,3.0,17.0,,,,2.0,,,,,,5.0,1.0,,,,4.0,4.0,2.0,,5.0,,12.0,,,29.0,16.0,3.0,,,,,11.0,5.0,1.0,,,,1.0,,,,3.0,,1.0,,,1.0,,,,,5.0,,,,,1.0,,1.0,,1.0,5.0,,8.0,,,9.0,1.0,,,7.0,,,,,,12.0,,,,,,,,,,9.0,,11.0,5.0,11.0,,,2.0,,2.0,,,,28.0,,,,,,4.0,,6.0,,,,,15.0,3.0,,,7.0,,,,,,,,,,6.0,12.0,22.0,,,,,,,14.0,,17.0,3.0,,,,9.0,,5.0,,,,7.0,,,,,,2.0,,12.0,6.0,,12.0,2.0,5.0,,,2.0,2.0,,,,,,937.0
Cheshunt,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,6.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,46.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,20.0,,,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,10.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,3.0,,,4.0,,,,,,,,,,170.0
Chigwell,,,,4.0,5.0,,,,,4.0,,,,6.0,,25.0,5.0,4.0,1.0,,,,,,,2.0,3.0,5.0,,,7.0,,,,,,,,2.0,,2.0,,,,1.0,,,,,,,,3.0,9.0,22.0,9.0,,,,,,,,6.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,2.0,,,,,,,3.0,,,5.0,,,1.0,6.0,4.0,2.0,10.0,,,,,,,,,2.0,,2.0,,,,,,2.0,3.0,9.0,,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,2.0,,11.0,,,8.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,11.0,,3.0,,,1.0,,,,,2.0,,3.0,,,22.0,11.0,,,2.0,,,,,3.0,,,3.0,,,10.0,,,,,,,2.0,,,4.0,,,,,,,,,2.0,,7.0,,,13.0,6.0,,,,,,5.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,3.0,,,,3.0,2.0,,,,,5.0,,,,,,3.0,,,,5.0,,5.0,,6.0,,,,,2.0,,,,32.0,,,,,,,,,,0.0,,,7.0,,,,5.0,,,,,,,,,2.0,,5.0,10.0,,,,1.0,,,6.0,,9.0,,,,,2.0,,2.0,,,5.0,,,,,,,,,6.0,2.0,,9.0,0.0,,,,,,,4.0,,,,469.0
Chingford,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,66.0,,,,,,,,,,,,,,,11.0,,,,,,,,,12.0,43.0,,136.0,,,,15.0,,,,,,,,,,,,,,,,32.0,,,15.0,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,30.0,,,,,,32.0,,22.0,17.0,,,,,36.0,,,,15.0,,,,,,,,,,,,,55.0,,,,,,,24.0,,,,,,,,,,,,,,16.0,,,18.0,,8.0,,,,,,,,,,,,,,,,14.0,,10.0,,405.0,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,13.0,,330.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,18.0,,,,,163.0,,,,10.0,,,,,,,,,,,42.0,,,,57.0,,,,,,,,,,16.0,141.0,,,,,,,29.0,,,,,2044.0
Chiswick Park,,,32.0,,6.0,,3.0,,,7.0,2.0,1.0,0.0,15.0,3.0,39.0,7.0,3.0,,12.0,2.0,,,,,3.0,4.0,9.0,2.0,,19.0,,4.0,1.0,,1.0,,,5.0,,1.0,,,,,,,,2.0,,,,6.0,12.0,23.0,7.0,5.0,,,,,,,13.0,8.0,0.0,,,,,,2.0,,,2.0,2.0,,,1.0,1.0,5.0,,,,,,,,,,,,,,,,,18.0,9.0,16.0,3.0,1.0,1.0,,3.0,1.0,,9.0,,6.0,0.0,,10.0,,,,14.0,8.0,,15.0,1.0,,,5.0,,,9.0,,0.0,,11.0,2.0,,7.0,,,,7.0,25.0,2.0,,,,,,,,63.0,,,3.0,,,,,3.0,,2.0,,1.0,1.0,2.0,1.0,,1.0,11.0,,15.0,1.0,0.0,18.0,,2.0,,,,2.0,2.0,1.0,,4.0,0.0,,,,2.0,,,,,,,4.0,,,,,22.0,,10.0,6.0,2.0,,,4.0,10.0,,1.0,,1.0,,,30.0,20.0,,,,2.0,1.0,,7.0,8.0,,6.0,3.0,,,15.0,,3.0,,,,,0.0,7.0,3.0,4.0,,,5.0,1.0,2.0,,,,10.0,,10.0,2.0,3.0,34.0,22.0,7.0,6.0,,,1.0,14.0,7.0,,,,,,,,5.0,,,,,15.0,1.0,,,4.0,12.0,1.0,,,,,2.0,,0.0,0.0,1.0,5.0,,5.0,,,,2.0,,,12.0,,,5.0,,1.0,23.0,,,0.0,,,1.0,,2.0,1.0,10.0,,14.0,4.0,11.0,12.0,,,,2.0,2.0,,,19.0,,,1.0,1.0,,,,7.0,,,1.0,3.0,16.0,2.0,,,7.0,,,33.0,1.0,,,,,1.0,3.0,14.0,31.0,3.0,,,,,,15.0,,19.0,,,,,4.0,2.0,13.0,,,3.0,,0.0,,6.0,,,4.0,,15.0,8.0,,10.0,,,6.0,1.0,2.0,6.0,,,,,,1291.0
Chorleywood,,,3.0,7.0,,,,3.0,,8.0,,,,14.0,,41.0,8.0,,,,,,,,,,4.0,9.0,3.0,,17.0,,,,,,,,5.0,,,,,,,,,,,,,,6.0,,28.0,10.0,5.0,,1.0,,,11.0,,12.0,7.0,2.0,,,,,,,,,,,,,,,5.0,,,3.0,,,,,,,,,,,,,2.0,,,6.0,,,,,,1.0,,,,6.0,,,9.0,,,,,8.0,,18.0,,5.0,,6.0,,,,,,,5.0,,,,,,,7.0,20.0,,,,,,,,,14.0,,,,,,,,8.0,,,,,,,,,,5.0,,19.0,,1.0,17.0,,,,,,,,,,3.0,1.0,,,,,,,,,,,,3.0,,,,23.0,,7.0,,2.0,,,2.0,8.0,,,,,,,34.0,19.0,,,,,,,7.0,6.0,,,4.0,,5.0,17.0,,,,,,,,,,5.0,1.0,,,,5.0,6.0,3.0,,,,12.0,,,30.0,16.0,3.0,,,,,12.0,5.0,2.0,,,,1.0,,,3.0,3.0,,1.0,,,2.0,,,4.0,,16.0,,,,,,,1.0,,1.0,5.0,,8.0,,,9.0,1.0,,,7.0,,,,,,12.0,,,,,,,,,,9.0,,11.0,5.0,11.0,,,2.0,,,,,,28.0,,,,,,4.0,,6.0,,,,,15.0,,,,7.0,,,2.0,,,,,,,6.0,12.0,22.0,,,,,,,14.0,,17.0,5.0,,,,10.0,,6.0,,,,8.0,1.0,,,,,,,12.0,,,,,,,,,2.0,,,,,,899.0
Clapham Common,,,6.0,32.0,31.0,,2.0,,,27.0,7.0,2.0,2.0,46.0,67.0,229.0,36.0,11.0,1.0,11.0,3.0,,,1.0,8.0,16.0,17.0,43.0,6.0,,74.0,25.0,2.0,2.0,,5.0,2.0,,63.0,,6.0,,,,1.0,2.0,,,7.0,,,,21.0,61.0,105.0,30.0,25.0,,,,,1.0,6.0,51.0,37.0,,,,,5.0,,,,,114.0,66.0,,,4.0,9.0,23.0,,,,,,,,1.0,2.0,,,2.0,,,,3.0,9.0,3.0,25.0,5.0,4.0,5.0,,,,2.0,23.0,,51.0,,,52.0,,,1.0,51.0,,1.0,74.0,4.0,11.0,,17.0,,,15.0,,2.0,,23.0,5.0,,27.0,,,,,105.0,3.0,,11.0,,,,,1.0,42.0,7.0,,4.0,5.0,,,2.0,5.0,,2.0,,1.0,1.0,3.0,4.0,,2.0,21.0,,52.0,3.0,1.0,73.0,8.0,6.0,,,,2.0,,1.0,,15.0,,,,,17.0,2.0,,,11.0,,,3.0,6.0,,3.0,,82.0,2.0,30.0,7.0,12.0,9.0,,4.0,41.0,,4.0,,5.0,,,167.0,126.0,,,1.0,4.0,4.0,,36.0,26.0,,17.0,13.0,2.0,,84.0,9.0,12.0,,2.0,,,1.0,8.0,,16.0,,,2.0,2.0,3.0,2.0,,,19.0,1.0,54.0,,41.0,134.0,48.0,,10.0,,,2.0,56.0,54.0,1.0,4.0,,,1.0,,,9.0,7.0,,1.0,8.0,7.0,1.0,,1.0,16.0,10.0,1.0,,,,,4.0,,1.0,,1.0,22.0,,18.0,,,26.0,,,,43.0,2.0,,2.0,,1.0,58.0,,,1.0,,10.0,2.0,,,2.0,53.0,,66.0,13.0,52.0,3.0,,2.0,,8.0,54.0,,2.0,81.0,,,,1.0,,9.0,,34.0,,,20.0,40.0,68.0,7.0,1.0,,36.0,3.0,,5.0,3.0,2.0,,1.0,,5.0,4.0,157.0,154.0,10.0,,,1.0,,,56.0,5.0,113.0,1.0,,,3.0,10.0,2.0,21.0,,0.0,14.0,15.0,0.0,,7.0,,,5.0,,71.0,16.0,,52.0,3.0,10.0,,,5.0,,,2.0,,2.0,,4911.0
Clapham High Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,197.0,,,,,,,,,,,,,,,,,,,,173.0,,,,,,,,,,,,,,,,,13.0,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,22.0,,,,52.0,,,,14.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,20.0,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,24.0,,,,,,,,,,,,8.0,,,,,,,,,,75.0,,99.0,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,21.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,182.0,,,18.0,,,,,,,11.0,,,91.0,,,,,,,,,,,,,,,131.0,,36.0,,,,,,,,,,1501.0
Clapham Junction,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,32.0,41.0,,,,5.0,11.0,,53.0,,89.0,,477.0,,,,31.0,,9.0,,,,,,,,,6.0,,,,213.0,,,,14.0,,,,,,,,,,,,,,40.0,58.0,,183.0,,,,,,,,,,,,,,,18.0,,,,,,16.0,,,,,,,,52.0,,,21.0,,,,,,,,,,55.0,,,,,,,61.0,,32.0,35.0,,,,75.0,,75.0,,16.0,35.0,,4.0,,10.0,,,,,,,,10.0,457.0,,,,,,49.0,15.0,,,,,59.0,,,,492.0,,,28.0,62.0,209.0,,33.0,25.0,,,15.0,,,,,,,,,,,,,,12.0,,8.0,,,,,26.0,,,,,,,,,,,,,,,,,42.0,52.0,,,,,,16.0,,,,,,,,,,,,,,,,76.0,6.0,,,,,,,,,,,,82.0,50.0,,,,,9.0,,,,,,,19.0,,,,,,,,,,191.0,,544.0,,164.0,23.0,,,,,,,,12.0,,,15.0,,,,,,,,,,,,,,,,,15.0,35.0,615.0,,,,,49.0,,17.0,,,,,,,,,,,,,,,,,,26.0,,,,,,,125.0,,,46.0,,,,,16.0,23.0,48.0,,,625.0,,,,152.0,,,,,,,,,,18.0,342.0,,168.0,,,,,11.0,,7.0,,,6934.0
Clapham North,,,3.0,18.0,18.0,,,,,15.0,4.0,1.0,,26.0,28.0,134.0,20.0,6.0,,6.0,2.0,,,1.0,4.0,9.0,10.0,25.0,3.0,,43.0,15.0,,1.0,,3.0,1.0,,42.0,,3.0,,,,,1.0,,,4.0,,,,12.0,35.0,59.0,17.0,15.0,,1.0,,,,3.0,29.0,22.0,,,,,3.0,,88.0,,,,23.0,,0.0,2.0,4.0,13.0,,,,,,,,,1.0,,,,,,,1.0,5.0,2.0,14.0,3.0,2.0,3.0,,,,1.0,13.0,,31.0,,,31.0,,,0.0,29.0,,,43.0,2.0,6.0,,9.0,,,8.0,,1.0,,13.0,3.0,,16.0,,,,,62.0,1.0,,6.0,,,,,0.0,24.0,4.0,,2.0,3.0,,,1.0,3.0,,,,1.0,1.0,2.0,2.0,,1.0,12.0,,29.0,2.0,,42.0,5.0,4.0,,,,,1.0,,,9.0,,,,,11.0,1.0,,,6.0,,,1.0,3.0,,2.0,,47.0,,17.0,4.0,7.0,5.0,,2.0,24.0,,2.0,,3.0,,,97.0,75.0,,,,2.0,2.0,,21.0,15.0,,9.0,7.0,,,49.0,4.0,7.0,,1.0,,,1.0,4.0,,9.0,,,1.0,1.0,2.0,,,,11.0,1.0,31.0,,28.0,77.0,27.0,,6.0,,,1.0,33.0,34.0,,2.0,,,,,,5.0,4.0,,,5.0,4.0,,,0.0,9.0,5.0,,,,,,2.0,,,,0.0,12.0,,10.0,,,15.0,,,,25.0,,,1.0,,,34.0,,,,,5.0,1.0,,,1.0,32.0,,39.0,8.0,30.0,2.0,,,,5.0,49.0,,1.0,45.0,,,,,,5.0,,20.0,,,9.0,18.0,40.0,4.0,0.0,,21.0,1.0,,3.0,2.0,1.0,,1.0,,3.0,2.0,106.0,93.0,6.0,,,1.0,,,32.0,3.0,68.0,,,,2.0,5.0,,12.0,,0.0,7.0,8.0,,,4.0,,,3.0,,42.0,9.0,,29.0,2.0,5.0,6.0,,3.0,,,1.0,,1.0,,2846.0
